scenario,mode,seeds,blueWins,redWins,winRate,avg,median,p90,p95,over40,over60,timeout,nexusRate
A,LEGACY_OFF,1000,485,515,0.485000,1792.362000,1760,2190,2309,35,0,0,1.000000
A,STATE_ONLY,1000,485,515,0.485000,1792.362000,1760,2190,2309,35,0,0,1.000000
A,POWER_ON,1000,483,517,0.483000,1790.601000,1760,2184,2309,34,0,0,1.000000
B,LEGACY_OFF,1000,565,435,0.565000,1794.114000,1774,2210,2340,29,0,0,1.000000
B,STATE_ONLY,1000,565,435,0.565000,1794.114000,1774,2210,2340,29,0,0,1.000000
B,POWER_ON,1000,563,437,0.563000,1793.764000,1774,2210,2335,29,0,0,1.000000
B_MIRROR,LEGACY_OFF,500,231,269,0.462000,1802.546000,1770,2234,2350,19,0,0,1.000000
B_MIRROR,STATE_ONLY,500,231,269,0.462000,1802.546000,1770,2234,2350,19,0,0,1.000000
B_MIRROR,POWER_ON,500,230,270,0.460000,1804.338000,1775,2235,2350,19,0,0,1.000000
C,LEGACY_OFF,1000,516,484,0.516000,1747.033000,1730,2149,2295,20,0,0,1.000000
C,STATE_ONLY,1000,516,484,0.516000,1747.033000,1730,2149,2295,20,0,0,1.000000
C,POWER_ON,1000,514,486,0.514000,1744.787000,1720,2148,2291,19,0,0,1.000000
C_MIRROR,LEGACY_OFF,500,235,265,0.470000,1743.882000,1720,2160,2290,12,0,0,1.000000
C_MIRROR,STATE_ONLY,500,235,265,0.470000,1743.882000,1720,2160,2290,12,0,0,1.000000
C_MIRROR,POWER_ON,500,234,266,0.468000,1743.094000,1720,2160,2285,12,0,0,1.000000
D,LEGACY_OFF,1000,554,446,0.554000,1766.428000,1746,2134,2264,29,0,0,1.000000
D,STATE_ONLY,1000,554,446,0.554000,1766.428000,1746,2134,2264,29,0,0,1.000000
D,POWER_ON,1000,552,448,0.552000,1764.796000,1740,2133,2264,29,0,0,1.000000
D_MIRROR,LEGACY_OFF,500,231,269,0.462000,1799.942000,1770,2210,2345,20,0,0,1.000000
D_MIRROR,STATE_ONLY,500,231,269,0.462000,1799.942000,1770,2210,2345,20,0,0,1.000000
D_MIRROR,POWER_ON,500,232,268,0.464000,1799.708000,1770,2185,2340,18,0,0,1.000000
E,LEGACY_OFF,1000,558,442,0.558000,1787.785000,1774,2175,2304,24,0,0,1.000000
E,STATE_ONLY,1000,558,442,0.558000,1787.785000,1774,2175,2304,24,0,0,1.000000
E,POWER_ON,1000,565,435,0.565000,1786.392000,1774,2175,2300,22,0,0,1.000000
E_MIRROR,LEGACY_OFF,500,218,282,0.436000,1798.572000,1780,2180,2313,16,0,0,1.000000
E_MIRROR,STATE_ONLY,500,218,282,0.436000,1798.572000,1780,2180,2313,16,0,0,1.000000
E_MIRROR,POWER_ON,500,218,282,0.436000,1794.864000,1779,2180,2313,16,0,0,1.000000
F,LEGACY_OFF,1000,953,47,0.953000,1637.816000,1619,2000,2110,4,0,0,1.000000
F,STATE_ONLY,1000,953,47,0.953000,1637.816000,1619,2000,2110,4,0,0,1.000000
F,POWER_ON,1000,953,47,0.953000,1637.133000,1620,2000,2105,4,0,0,1.000000
F_MIRROR,LEGACY_OFF,500,22,478,0.044000,1631.730000,1610,1980,2108,6,0,0,1.000000
F_MIRROR,STATE_ONLY,500,22,478,0.044000,1631.730000,1610,1980,2108,6,0,0,1.000000
F_MIRROR,POWER_ON,500,22,478,0.044000,1631.566000,1609,1990,2110,6,0,0,1.000000
G,LEGACY_OFF,1000,485,515,0.485000,1792.362000,1760,2190,2309,35,0,0,1.000000
G,STATE_ONLY,1000,485,515,0.485000,1792.362000,1760,2190,2309,35,0,0,1.000000
G,POWER_ON,1000,483,517,0.483000,1790.601000,1760,2184,2309,34,0,0,1.000000
