scenario,context,count,bluePower,redPower,signedEdge,absEdge,signedContribution,absContribution,p50,p90,p95,max,positive,negative,zero,clamp,participants,shareAvg,shareP50,shareP90,shareP95,shareMax,shareOverOneRate,levelContribution,itemContribution,itemRatio,levelRatio,goldContribution,sameDirection,oppositeDirection,bothNonzero,goldOnly,itemOnly,both,correlation
A,LANE_COMBAT,2194,0.827429,0.826595,0.000834,0.090980,0.000500,0.054588,0.000000,0.180000,0.360000,0.432000,0.196901,0.194166,0.608933,0,2.705561,0.093954,0.000000,0.229132,0.391420,9.227624,0.010027,-0.000197,0.000697,0.779817,0.220183,0.006415,0.978166,0.021834,0.208751,1672,0,458,0.580366
A,JUNGLE_GANK,2824,0.867541,0.869950,-0.002409,0.081651,-0.001566,0.053073,0.026000,0.162500,0.234000,0.468000,0.278329,0.274079,0.447592,0,4.729462,0.084873,0.014791,0.110118,0.233635,16.871827,0.014164,0.000157,-0.001722,0.916701,0.083299,-0.012630,0.884793,0.115207,0.307365,1942,0,868,0.572359
A,COUNTER_GANK,155,0.867538,0.870860,-0.003323,0.087581,-0.002492,0.065685,0.030000,0.225000,0.300000,0.540000,0.264516,0.238710,0.496774,0,4.645161,0.145621,0.012238,0.152835,0.292683,5.550000,0.025806,-0.000677,-0.001815,0.728155,0.271845,-0.024462,0.940000,0.060000,0.322581,99,1,50,0.663067
A,ROAM,1136,0.869429,0.867406,0.002023,0.131923,0.001416,0.092346,0.080500,0.196000,0.252000,0.633500,0.421655,0.386444,0.191901,0,3.651408,0.236469,0.040052,0.345421,0.690667,25.200000,0.036972,0.001072,0.000344,0.242930,0.757070,0.035200,0.886945,0.113055,0.654049,388,1,743,0.647605
A,GENERIC_SKIRMISH,32939,1.654656,1.660339,-0.005682,0.196908,-0.004830,0.167372,0.061200,0.518500,0.663000,3.870900,0.404870,0.405932,0.189198,0,9.643705,0.000574,0.000187,0.001670,0.002165,0.025677,0.000000,-0.000838,-0.003992,0.826443,0.173557,0.000000,0.000000,0.000000,0.000000,0,18797,0,0.000000
A,TEAMFIGHT,2230,2.328662,2.332468,-0.003806,0.291126,-0.003806,0.291126,0.184000,0.744000,0.856000,1.480000,0.454709,0.452915,0.092377,0,9.432287,0.010474,0.002327,0.006656,0.010084,9.600000,0.001345,-0.000623,-0.003182,0.836214,0.163786,-0.253596,0.904824,0.095176,0.687892,694,1,1534,0.841027
A,OBJECTIVE_FIGHT,994,1.816814,1.829519,-0.012706,0.201899,-0.012706,0.201899,0.096000,0.624000,0.744000,1.256000,0.423541,0.431590,0.144869,0,9.796781,0.017173,0.002397,0.011712,0.050000,2.400000,0.004024,-0.001907,-0.010798,0.849873,0.150127,-0.351992,0.910624,0.089376,0.596579,397,2,593,0.849877
A,LATE_GAME_SIEGE,574,2.335483,2.349510,-0.014028,0.280582,-0.014028,0.280582,0.192000,0.696000,0.835000,1.144000,0.423345,0.477352,0.099303,0,9.682927,0.003908,0.002463,0.006828,0.009754,0.177778,0.000000,-0.002983,-0.011045,0.787382,0.212618,-0.345958,0.925187,0.074813,0.698606,173,0,401,0.847374
A,BASE_DEFENSE,2206,2.745329,2.742245,0.003084,0.439913,0.003084,0.439913,0.426000,0.856000,0.952000,1.684000,0.475975,0.487307,0.036718,0,9.615594,0.004210,0.002965,0.006068,0.007933,0.968421,0.000000,0.000131,0.002953,0.957666,0.042334,-0.301668,0.959682,0.040318,0.854488,321,0,1885,0.894026
B,LANE_COMBAT,2616,0.843815,0.808742,0.035073,0.090807,0.021044,0.054484,0.000000,0.180000,0.360000,0.504000,0.233180,0.153670,0.613150,0,2.683486,0.088161,0.000000,0.110270,0.218307,7.594118,0.018349,0.000275,0.020768,0.986921,0.013079,0.415080,0.951389,0.048611,0.220183,2022,0,576,0.544971
B,JUNGLE_GANK,2844,0.884749,0.845697,0.039052,0.088299,0.025384,0.057395,0.028167,0.195000,0.234000,0.468000,0.350914,0.206751,0.442335,0,4.729958,0.050388,0.011881,0.085915,0.138478,5.946629,0.007736,0.000384,0.025000,0.984873,0.015127,0.488757,0.872690,0.127310,0.342475,1854,4,974,0.551818
B,COUNTER_GANK,186,0.859928,0.837984,0.021944,0.085797,0.016458,0.064348,0.045000,0.225000,0.270000,0.390000,0.344086,0.236559,0.419355,0,4.591398,0.217459,0.027273,0.201137,0.426567,11.498094,0.037634,-0.003065,0.019523,0.864326,0.135674,0.325829,0.903226,0.096774,0.333333,123,0,62,0.594838
