scenario,time,side,position,n,avgLevel,p10,p50,p90,avgXp,avgGold,starting,component,first,second,third,fourth,full,levelPower,itemPower,totalPower
A,1200,BLUE,ADC,872,10.162844,10,10,11,6951.855505,5669.548165,0,0,845,27,0,0,0,1.099541,0.874771,1.974312
A,1200,BLUE,JUNGLE,872,10.513761,10,11,11,7356.639908,5068.791284,0,0,868,4,0,0,0,1.141651,0.853670,1.995321
A,1200,BLUE,MID,872,11.478211,11,11,12,8596.915138,5666.016055,0,0,850,22,0,0,0,1.257385,0.870183,2.127569
A,1200,BLUE,SUPPORT,872,10.199541,10,10,11,7074.011468,2826.348624,0,764,108,0,0,0,0,1.103945,0.324312,1.428257
A,1200,BLUE,TOP,872,11.510321,11,12,12,8600.378440,5564.834862,0,0,863,9,0,0,0,1.261239,0.858257,2.119495
A,1200,RED,ADC,872,10.166284,10,10,11,6964.600917,5694.089450,0,0,845,27,0,0,0,1.099954,0.874771,1.974725
A,1200,RED,JUNGLE,872,10.530963,10,11,11,7357.947248,5082.357798,0,0,869,3,0,0,0,1.143716,0.852752,1.996468
A,1200,RED,MID,872,11.469037,11,11,12,8591.295872,5653.894495,0,0,845,27,0,0,0,1.256284,0.874771,2.131055
A,1200,RED,SUPPORT,872,10.214450,10,10,11,7076.080275,2833.263761,0,764,108,0,0,0,0,1.105734,0.324312,1.430046
A,1200,RED,TOP,872,11.540138,11,12,12,8600.114679,5565.270642,0,0,858,14,0,0,0,1.264817,0.862844,2.127661
A,1500,BLUE,ADC,555,11.562162,11,12,12,8703.149550,7353.239640,0,0,223,330,2,0,0,1.267459,1.331802,2.599261
A,1500,BLUE,JUNGLE,555,12.036036,12,12,12,9221.675676,6638.554955,0,0,388,167,0,0,0,1.324324,1.090721,2.415045
A,1500,BLUE,MID,555,13.043243,13,13,13,10703.027027,7339.996396,0,0,212,343,0,0,0,1.445189,1.344414,2.789604
A,1500,BLUE,SUPPORT,555,11.702703,11,12,12,8844.356757,3842.518919,0,215,340,0,0,0,0,1.284324,0.617568,1.901892
A,1500,BLUE,TOP,555,13.061261,13,13,14,10747.513514,7230.933333,0,0,249,306,0,0,0,1.447351,1.291081,2.738432
A,1500,RED,ADC,555,11.576577,11,12,12,8713.852252,7392.257658,0,0,219,336,0,0,0,1.269189,1.334324,2.603514
A,1500,RED,JUNGLE,555,12.014414,12,12,12,9197.297297,6628.095495,0,0,378,177,0,0,0,1.321730,1.105135,2.426865
A,1500,RED,MID,555,13.025225,13,13,13,10688.468468,7320.437838,0,0,215,339,1,0,0,1.443027,1.341712,2.784739
A,1500,RED,SUPPORT,555,11.735135,11,12,12,8864.951351,3854.131532,0,217,337,1,0,0,0,1.288216,0.616847,1.905063
A,1500,RED,TOP,555,13.045045,13,13,13,10758.216216,7264.636036,0,0,239,315,1,0,0,1.445405,1.307117,2.752523
A,1800,BLUE,ADC,255,12.807843,12,13,13,10451.647059,9029.011765,0,0,0,234,21,0,0,1.416941,1.724118,3.141059
A,1800,BLUE,JUNGLE,255,13.298039,13,13,14,11112.352941,8241.129412,0,0,30,221,4,0,0,1.475765,1.570000,3.045765
A,1800,BLUE,MID,255,14.407843,14,14,15,12861.647059,9066.423529,0,0,0,224,31,0,0,1.608941,1.759412,3.368353
A,1800,BLUE,SUPPORT,255,12.996078,12,13,14,10631.215686,4869.090196,0,12,236,7,0,0,0,1.439529,0.843725,2.283255
A,1800,BLUE,TOP,255,14.427451,14,14,15,12928.745098,8936.580392,0,0,0,234,21,0,0,1.611294,1.724118,3.335412
A,1800,RED,ADC,255,12.835294,12,13,13,10465.631373,9076.384314,0,0,0,227,28,0,0,1.420235,1.748824,3.169059
A,1800,RED,JUNGLE,255,13.290196,13,13,14,11075.764706,8175.913725,0,0,30,224,1,0,0,1.474824,1.559412,3.034235
A,1800,RED,MID,255,14.376471,14,14,15,12847.137255,9013.090196,0,0,2,229,24,0,0,1.605176,1.728431,3.333608
A,1800,RED,SUPPORT,255,12.976471,12,13,14,10649.317647,4870.972549,0,15,232,8,0,0,0,1.437176,0.839804,2.276980
A,1800,RED,TOP,255,14.431373,14,14,15,12894.941176,8903.325490,0,0,2,237,16,0,0,1.611765,1.700196,3.311961
A,2400,BLUE,ADC,17,14.764706,14,15,16,13457.529412,11855.235294,0,0,0,1,15,1,0,1.651765,2.550000,4.201765
A,2400,BLUE,JUNGLE,17,15.294118,15,15,16,14394.705882,11000.529412,0,0,0,7,10,0,0,1.715294,2.179412,3.894706
A,2400,BLUE,MID,17,16.411765,16,16,17,16665.882353,11991.705882,0,0,0,2,14,1,0,1.849412,2.497059,4.346471
A,2400,BLUE,SUPPORT,17,14.941176,14,15,16,13868.705882,6473.470588,0,0,12,5,0,0,0,1.672941,1.085294,2.758235
A,2400,BLUE,TOP,17,16.705882,16,17,17,16915.882353,12034.647059,0,0,0,0,16,1,0,1.884706,2.602941,4.487647
A,2400,RED,ADC,17,15.058824,14,15,16,13988.470588,12386.117647,0,0,0,2,13,2,0,1.687059,2.550000,4.237059
