"case","policy","team","from","through","initial_roles","final_roles","proposals","completed_moves","annual_salary","signing_bonus","trade_fee","cash_end","wage_limit","common_checks","actual_sets","receipt_count","note"
"renewal_possible","V3","LCK:BRO","2027-01-11","2027-01-11","5","5","0","0","","","","1000000000","1000000000","8","0","0","external roster failures exhausted checks; Casting uninspected"
"renewal_possible","V4","LCK:BRO","2027-01-11","2027-01-11","5","5","1","0","142800","12000","0","1000000000","1000000000","1","0","0","Casting offered 2027-02-21 through 2029-02-20; no forced consent"
"renewal_impossible","V4","LCK:BRO","2027-01-11","2027-01-11","5","5","0","0","","","","1000000000","1","0","0","0","WAGE_LIMIT precheck; original obligations retained"
"joint_top_support","V3","LCK:BRO","2027-01-11","2027-01-11","3","3","1","0","300000","24000","0","","1571000","","0","0","1jiang only; offers are not confirmed coverage; legacy unit fixture"
"joint_top_support","V4","LCK:BRO","2027-01-11","2027-01-11","3","3","2","0","291600","24000","0","","1571000","2","0","0","369+2274; existing 1261000; remaining salary room 18400; legacy units"
"joint_impossible","V4","LCK:BRO","2027-01-11","2027-01-11","3","3","0","0","","","","","1261001","0","0","0","WAGE_LIMIT; no forced contracts"
"scheduled_28_days","V3","LPL:OMG","2026-12-17","2027-01-14","4","5","2","1","721554545","0","261378900","1655160210","3300000000","","3","1","Effort: LOAN"
"scheduled_28_days","V3","LCK:BRO","2026-12-17","2027-01-14","4","4","0","0","922229583","0","0","701543689","921229583","","0","0","existing wages exceed future cap by 1000000 KRW; initial synthetic boundary"
"scheduled_28_days","V3","CBLOL:LEV","2026-12-17","2027-01-14","5","5","0","0","156000000","0","0","171837118","171600000","","0","0","healthy reference; no Auto claimed"
"scheduled_28_days","V4-initial","LPL:OMG","2026-12-17","2027-01-14","4","5","2","1","1666923750","96542500","1476388050","335838403","3300000000","","3","1","Effort: TRANSFER"
"scheduled_28_days","V4-initial","LCK:BRO","2026-12-17","2027-01-14","4","4","0","0","922229583","0","0","701543689","921229583","","0","0","existing wages exceed future cap by 1000000 KRW; initial synthetic boundary"
"scheduled_28_days","V4-initial","CBLOL:LEV","2026-12-17","2027-01-14","5","5","0","0","156000000","0","0","171837118","171600000","","0","0","healthy reference; no Auto claimed"
"scheduled_28_days","V4-final","LPL:OMG","2026-12-17","2027-01-14","4","5","2","1","721554545","0","261378900","1655160210","3300000000","","3","1","Effort retained-pay LOAN; same-player term costs ordered; same recovery and cash as V3"
"scheduled_28_days","V4-final","LCK:BRO","2026-12-17","2027-01-14","4","4","0","0","922229583","0","0","701543689","921229583","","0","0","existing wages exceed future cap by 1000000 KRW; no override"
"scheduled_28_days","V4-final","CBLOL:LEV","2026-12-17","2027-01-14","5","5","0","0","156000000","0","0","171837118","171600000","","0","0","healthy reference; no Auto claimed"
