phase,receiptHash,gameNumber,gameSeed,draftDecisionHash,draftSelectionTraceHash,finalAssignmentHash,rosterIdentityHash,inputHash,structuredTimelineHash,outputHash,randomDrawCount,randomTraceHash
before-1,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,1,2591802464200888061,f9295ae11617b1a7235170f104af1340a012af1b9e700bbf6bee8b5f900c5f3d,d76abc3315b2d1f79dcfa71ae37ccbff5cdfc25b191459fa9860d77921fc1df8,e9f111b939ef10db24757158b4f5a59d5f417d75d131c7c9c6b28e22f10af945,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,ccba6682c9254eae5948fb8a117312bea6c52d92d4e99f5fa1da05fcea3ac1cb,acd74e3c5504c2298cb6aa50ebe708b92314e99e1d558c97af6888cae61c0600,110180942cde0f9a4e7a32b65e0d0ef0c55bfa0a4fce162d84832e8ed0cd200a,4010,e74b9edca6d1c6371e34115bbcf716d7e6ae7c365090aebce7ec44906ef61c06
before-1,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,2,5774348626466317956,c8f002d4745e011f49bdd75a3ae500a95f7563983f5395874df2e9ee868c3d84,b1a456dcabe5aabd78cbd23ca05e2ef4c61283d1d1f2ede5c95ee8635e59be22,c88d518f62fb682be9d47995d42ecff23ac3cbc3cfdfcb6f31fa4f203f4ec8bf,b00a0066a807348bbd7ab10a9d034359116619d03759924b268b0715a1762b64,d82add9e255d8af9b5486c2d617be83288c6d238e64f7d1bfa6bed80c1ac85b4,f1e9eefdb4850e8efbf27db082dd27bac2815fec81d5dc7091ed31e3a13ae8fc,bdeb7bc8557dd17d16d987f0d4e78e34dad602792f7b9b9f7c36136e69d49690,6530,f43096f58b808a3300bc7dc8bb0adc92dd4e34f6a69a8ccd6114b214243b5a4d
before-1,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,3,-3901046921828709840,1c30f5c4be5eb220b60fc3538359356a0cf7adce330907da7f32e50dc63d83ce,a07d84deb462ea3808e661b6de2e96b3e199dd86c35592ee4a87f3be3678f661,ab6c05da2a0088159e55198e9c848433c8b97efe83f0555769e1ad7c35dec8e1,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,3780930094f1d780548300b2f950c2322b51d26ee1f65b1c0e4cf4ec21368ff7,56ed3edba65243fa280928e69593bbcc8fa05ac2e14b72837fe0eac094b45e7a,abe8d3c43d92d435bf8e973158c21082d62cff3b5b56c3714bb66b93eb4170f1,4482,26c0832bf807f07e50e7b7ef045dab4cea07c3bf3cf748206c2b828aadff8fc3
before-2,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,1,2591802464200888061,f9295ae11617b1a7235170f104af1340a012af1b9e700bbf6bee8b5f900c5f3d,d76abc3315b2d1f79dcfa71ae37ccbff5cdfc25b191459fa9860d77921fc1df8,e9f111b939ef10db24757158b4f5a59d5f417d75d131c7c9c6b28e22f10af945,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,ccba6682c9254eae5948fb8a117312bea6c52d92d4e99f5fa1da05fcea3ac1cb,acd74e3c5504c2298cb6aa50ebe708b92314e99e1d558c97af6888cae61c0600,110180942cde0f9a4e7a32b65e0d0ef0c55bfa0a4fce162d84832e8ed0cd200a,4010,e74b9edca6d1c6371e34115bbcf716d7e6ae7c365090aebce7ec44906ef61c06
before-2,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,2,5774348626466317956,c8f002d4745e011f49bdd75a3ae500a95f7563983f5395874df2e9ee868c3d84,b1a456dcabe5aabd78cbd23ca05e2ef4c61283d1d1f2ede5c95ee8635e59be22,c88d518f62fb682be9d47995d42ecff23ac3cbc3cfdfcb6f31fa4f203f4ec8bf,b00a0066a807348bbd7ab10a9d034359116619d03759924b268b0715a1762b64,d82add9e255d8af9b5486c2d617be83288c6d238e64f7d1bfa6bed80c1ac85b4,f1e9eefdb4850e8efbf27db082dd27bac2815fec81d5dc7091ed31e3a13ae8fc,bdeb7bc8557dd17d16d987f0d4e78e34dad602792f7b9b9f7c36136e69d49690,6530,f43096f58b808a3300bc7dc8bb0adc92dd4e34f6a69a8ccd6114b214243b5a4d
before-2,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,3,-3901046921828709840,1c30f5c4be5eb220b60fc3538359356a0cf7adce330907da7f32e50dc63d83ce,a07d84deb462ea3808e661b6de2e96b3e199dd86c35592ee4a87f3be3678f661,ab6c05da2a0088159e55198e9c848433c8b97efe83f0555769e1ad7c35dec8e1,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,3780930094f1d780548300b2f950c2322b51d26ee1f65b1c0e4cf4ec21368ff7,56ed3edba65243fa280928e69593bbcc8fa05ac2e14b72837fe0eac094b45e7a,abe8d3c43d92d435bf8e973158c21082d62cff3b5b56c3714bb66b93eb4170f1,4482,26c0832bf807f07e50e7b7ef045dab4cea07c3bf3cf748206c2b828aadff8fc3
after-1,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,1,2591802464200888061,f9295ae11617b1a7235170f104af1340a012af1b9e700bbf6bee8b5f900c5f3d,d76abc3315b2d1f79dcfa71ae37ccbff5cdfc25b191459fa9860d77921fc1df8,e9f111b939ef10db24757158b4f5a59d5f417d75d131c7c9c6b28e22f10af945,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,ccba6682c9254eae5948fb8a117312bea6c52d92d4e99f5fa1da05fcea3ac1cb,acd74e3c5504c2298cb6aa50ebe708b92314e99e1d558c97af6888cae61c0600,110180942cde0f9a4e7a32b65e0d0ef0c55bfa0a4fce162d84832e8ed0cd200a,4010,e74b9edca6d1c6371e34115bbcf716d7e6ae7c365090aebce7ec44906ef61c06
after-1,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,2,5774348626466317956,c8f002d4745e011f49bdd75a3ae500a95f7563983f5395874df2e9ee868c3d84,b1a456dcabe5aabd78cbd23ca05e2ef4c61283d1d1f2ede5c95ee8635e59be22,c88d518f62fb682be9d47995d42ecff23ac3cbc3cfdfcb6f31fa4f203f4ec8bf,b00a0066a807348bbd7ab10a9d034359116619d03759924b268b0715a1762b64,d82add9e255d8af9b5486c2d617be83288c6d238e64f7d1bfa6bed80c1ac85b4,f1e9eefdb4850e8efbf27db082dd27bac2815fec81d5dc7091ed31e3a13ae8fc,bdeb7bc8557dd17d16d987f0d4e78e34dad602792f7b9b9f7c36136e69d49690,6530,f43096f58b808a3300bc7dc8bb0adc92dd4e34f6a69a8ccd6114b214243b5a4d
after-1,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,3,-3901046921828709840,1c30f5c4be5eb220b60fc3538359356a0cf7adce330907da7f32e50dc63d83ce,a07d84deb462ea3808e661b6de2e96b3e199dd86c35592ee4a87f3be3678f661,ab6c05da2a0088159e55198e9c848433c8b97efe83f0555769e1ad7c35dec8e1,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,3780930094f1d780548300b2f950c2322b51d26ee1f65b1c0e4cf4ec21368ff7,56ed3edba65243fa280928e69593bbcc8fa05ac2e14b72837fe0eac094b45e7a,abe8d3c43d92d435bf8e973158c21082d62cff3b5b56c3714bb66b93eb4170f1,4482,26c0832bf807f07e50e7b7ef045dab4cea07c3bf3cf748206c2b828aadff8fc3
after-2,eff8e881f007b10d481547bbc0e60bf4b145910cb3f12314bad4be53416ad012,1,2591802464200888061,f9295ae11617b1a7235170f104af1340a012af1b9e700bbf6bee8b5f900c5f3d,d76abc3315b2d1f79dcfa71ae37ccbff5cdfc25b191459fa9860d77921fc1df8,e9f111b939ef10db24757158b4f5a59d5f417d75d131c7c9c6b28e22f10af945,ba22d65616a83c085a6d0fbed9206738fc59711abcf6eddf6975da7e5e332115,ccba6682c9254eae5948fb8a117312bea6c52d92d4e99f5fa1da05fcea3ac1cb,acd74e3c5504c2298cb6aa50ebe708b92314e99e1d558c97af6888cae61c0600,110180942cde0f9a4e7a32b65e0d0ef0c55bfa0a4fce162d84832e8ed0cd200a,4010,e74b9edca6d1c6371e34115bbcf716d7e6ae7c365090aebce7ec44906ef61c06
