sample,turn,side,action,champion,legal_before_search,immediate,continuation,final,components,alternatives
CBLOL-g1,1,BLUE,BAN,nautilus,173,1.1382196247449012,-0.40650995883204,0.7317096659128612,"{""META_PRIORITY"":0.2375,""OPPONENT_AVAILABLE_VALUE"":25.4875,""OPPONENT_EXPECTED_PICK_VALUE"":0.20459206720014378,""OPPONENT_FLEX_VALUE"":0.0,""OPPONENT_NEXT_PICK_DISTANCE"":7.0,""OPPONENT_PICK_PROBABILITY"":0.46408503836317155,""OPPONENT_REPLACEMENT_VALUE"":25.046649616368285,""OUR_LOST_PICK_OPPORTUNITY"":0.0,""OUR_NEXT_PICK_DISTANCE"":6.0,""PROTECTION_VALUE"":0.0,""ROLE_POOL_COMPRESSION"":0.0,""THREAT_TO_OUR_PLAN_PORTFOLIO"":3.480637787723787}","[{""championId"":""vi"",""finalSearchScore"":0.6241575890695374},{""championId"":""lee-sin"",""finalSearchScore"":0.6034403038666606},{""championId"":""jarvan-iv"",""finalSearchScore"":0.5275605826677008}]"
CBLOL-g1,2,RED,BAN,nocturne,172,1.0149970962010189,0.2150022938040999,1.2299993900051187,"{""META_PRIORITY"":0.2375,""OPPONENT_AVAILABLE_VALUE"":25.218250000000005,""OPPONENT_EXPECTED_PICK_VALUE"":0.0,""OPPONENT_FLEX_VALUE"":0.0,""OPPONENT_NEXT_PICK_DISTANCE"":5.0,""OPPONENT_PICK_PROBABILITY"":0.5283888297872348,""OPPONENT_REPLACEMENT_VALUE"":25.734361702127657,""OUR_LOST_PICK_OPPORTUNITY"":0.0,""OUR_NEXT_PICK_DISTANCE"":6.0,""PROTECTION_VALUE"":0.193519704428936,""ROLE_POOL_COMPRESSION"":0.0,""THREAT_TO_OUR_PLAN_PORTFOLIO"":3.5972059243616896}","[{""championId"":""naafiri"",""finalSearchScore"":1.283648675220167},{""championId"":""jarvan-iv"",""finalSearchScore"":1.1116749665890842},{""championId"":""xin-zhao"",""finalSearchScore"":1.1055112919123808}]"
CBLOL-g1,3,BLUE,BAN,jarvan-iv,171,0.8962123392300032,-0.357823167984757,0.5383891712452462,"{""META_PRIORITY"":0.2375,""OPPONENT_AVAILABLE_VALUE"":24.69091836734694,""OPPONENT_EXPECTED_PICK_VALUE"":0.0,""OPPONENT_FLEX_VALUE"":0.0,""OPPONENT_NEXT_PICK_DISTANCE"":5.0,""OPPONENT_PICK_PROBABILITY"":0.4042999999999996,""OPPONENT_REPLACEMENT_VALUE"":24.847918367346942,""OUR_LOST_PICK_OPPORTUNITY"":0.0,""OUR_NEXT_PICK_DISTANCE"":4.0,""PROTECTION_VALUE"":0.17420779743334563,""ROLE_POOL_COMPRESSION"":0.0,""THREAT_TO_OUR_PLAN_PORTFOLIO"":3.0322499999999972}","[{""championId"":""vi"",""finalSearchScore"":0.6082306801813121},{""championId"":""rell"",""finalSearchScore"":0.4785520153335038},{""championId"":""alistar"",""finalSearchScore"":0.47085128872502835}]"
CBLOL-g1,4,RED,BAN,naafiri,170,1.3419018264968556,0.05355901289014331,1.395460839386999,"{""META_PRIORITY"":0.225,""OPPONENT_AVAILABLE_VALUE"":25.481554054054058,""OPPONENT_EXPECTED_PICK_VALUE"":0.0,""OPPONENT_FLEX_VALUE"":0.5547192351926401,""OPPONENT_NEXT_PICK_DISTANCE"":3.0,""OPPONENT_PICK_PROBABILITY"":0.5547192351926401,""OPPONENT_REPLACEMENT_VALUE"":25.734361702127657,""OUR_LOST_PICK_OPPORTUNITY"":0.0,""OUR_NEXT_PICK_DISTANCE"":4.0,""PROTECTION_VALUE"":0.3492608660862366,""ROLE_POOL_COMPRESSION"":0.0,""THREAT_TO_OUR_PLAN_PORTFOLIO"":4.644578406960443}","[{""championId"":""xin-zhao"",""finalSearchScore"":1.2167185385944386},{""championId"":""diana"",""finalSearchScore"":1.1013960241196432},{""championId"":""vi"",""finalSearchScore"":1.0539235272974845}]"
CBLOL-g1,5,BLUE,BAN,vi,169,0.967731589314373,15.539464808548269,16.507196397862643,"{""META_PRIORITY"":0.2375,""OPPONENT_AVAILABLE_VALUE"":24.46613402061856,""OPPONENT_EXPECTED_PICK_VALUE"":0.0,""OPPONENT_FLEX_VALUE"":0.0,""OPPONENT_NEXT_PICK_DISTANCE"":3.0,""OPPONENT_PICK_PROBABILITY"":0.3818215653271619,""OPPONENT_REPLACEMENT_VALUE"":24.847918367346942,""OUR_LOST_PICK_OPPORTUNITY"":0.0,""OUR_NEXT_PICK_DISTANCE"":2.0,""PROTECTION_VALUE"":0.14317590575160527,""ROLE_POOL_COMPRESSION"":0.0,""THREAT_TO_OUR_PLAN_PORTFOLIO"":3.436394087944457}","[{""championId"":""rell"",""finalSearchScore"":16.37583999186653},{""championId"":""alistar"",""finalSearchScore"":16.372583303559704},{""championId"":""wukong"",""finalSearchScore"":16.344018203623985}]"
CBLOL-g1,6,RED,BAN,xin-zhao,168,1.043022025381184,-5.00653478835358,-3.963512762972396,"{""META_PRIORITY"":0.225,""OPPONENT_AVAILABLE_VALUE"":25.246688775510204,""OPPONENT_EXPECTED_PICK_VALUE"":0.10563905624999902,""OPPONENT_FLEX_VALUE"":0.0,""OPPONENT_NEXT_PICK_DISTANCE"":1.0,""OPPONENT_PICK_PROBABILITY"":0.5976749999999998,""OPPONENT_REPLACEMENT_VALUE"":25.069938775510206,""OUR_LOST_PICK_OPPORTUNITY"":0.08607193877551093,""OUR_NEXT_PICK_DISTANCE"":2.0,""PROTECTION_VALUE"":0.5838219450662595,""ROLE_POOL_COMPRESSION"":0.0,""THREAT_TO_OUR_PLAN_PORTFOLIO"":3.0304696831585782}","[{""championId"":""fiddlesticks"",""finalSearchScore"":-3.834275582452843},{""championId"":""morgana"",""finalSearchScore"":-4.027177134980753},{""championId"":""wukong"",""finalSearchScore"":-4.0697818208692365}]"
CBLOL-g1,7,BLUE,PICK,varus,167,33.64594292168675,-40.22317514438073,-6.577232222693979,"{""COMPOSITION_FIT"":4.918750000000003,""COMPOSITION_RESPONSE"":0.0,""DENIAL"":5.5144337349397645,""EARLY_POWER"":2.9,""FLEXIBILITY"":4.0,""FUTURE_FEASIBILITY"":10.0,""JUNGLE_CLEAR"":0.0,""LATE_POWER"":3.39,""MATCHUP"":0.0,""META_PRIORITY"":0.25,""MID_POWER"":5.58,""PLAYER_FIT"":16.87698795180723,""RESOURCE_RISK"":0.0}","[{""championId"":""brand"",""finalSearchScore"":-8.220073404010929},{""championId"":""rumble"",""finalSearchScore"":-8.259305833597374},{""championId"":""caitlyn"",""finalSearchScore"":-8.299470368976024}]"
CBLOL-g1,8,RED,PICK,alistar,166,34.4212821969697,6.6006628893617005,41.0219450863314,"{""COMPOSITION_FIT"":4.41,""COMPOSITION_RESPONSE"":3.238194444444444,""DENIAL"":3.606818181818184,""EARLY_POWER"":5.13,""FLEXIBILITY"":4.0,""FUTURE_FEASIBILITY"":10.0,""JUNGLE_CLEAR"":0.0,""LATE_POWER"":2.2800000000000002,""MATCHUP"":0.0,""META_PRIORITY"":0.1875,""MID_POWER"":4.2700000000000005,""PLAYER_FIT"":16.706565656565658,""RESOURCE_RISK"":0.0}","[{""championId"":""wukong"",""finalSearchScore"":40.95851765438054},{""championId"":""rell"",""finalSearchScore"":40.87025198941768},{""championId"":""rakan"",""finalSearchScore"":40.80482031371717}]"
CBLOL-g1,9,RED,PICK,wukong,143,33.51861057256236,-41.12481130240222,-7.606200729839863,"{""COMPOSITION_FIT"":5.6525,""COMPOSITION_RESPONSE"":0.02013888888888893,""DENIAL"":5.069938775510206,""EARLY_POWER"":4.680000000000001,""FLEXIBILITY"":4.0,""FUTURE_FEASIBILITY"":10.0,""JUNGLE_CLEAR"":0.40400000000000036,""LATE_POWER"":2.4800000000000004,""MATCHUP"":0.0,""META_PRIORITY"":0.2,""MID_POWER"":4.2700000000000005,""PLAYER_FIT"":16.801147959183673,""RESOURCE_RISK"":0.4}","[{""championId"":""sejuani"",""finalSearchScore"":-7.928667659078236},{""championId"":""lee-sin"",""finalSearchScore"":-8.115679648838906},{""championId"":""gnar"",""finalSearchScore"":-8.3186906792956}]"
CBLOL-g1,10,BLUE,PICK,azir,164,33.07244484114796,7.877611285060503,40.950056126208466,"{""COMPOSITION_FIT"":5.34375,""COMPOSITION_RESPONSE"":2.3376736111111125,""DENIAL"":2.499594594594594,""EARLY_POWER"":2.2,""FLEXIBILITY"":4.0,""FUTURE_FEASIBILITY"":10.0,""JUNGLE_CLEAR"":0.0,""LATE_POWER"":4.02,""MATCHUP"":0.0,""META_PRIORITY"":0.2125,""MID_POWER"":4.905,""PLAYER_FIT"":16.18230958230958,""RESOURCE_RISK"":0.69}","[{""championId"":""zyra"",""finalSearchScore"":40.696297554980674},{""championId"":""brand"",""finalSearchScore"":40.57808019168388},{""championId"":""caitlyn"",""finalSearchScore"":40.528662195422925}]"
CBLOL-g1,11,BLUE,PICK,caitlyn,140,33.73022605721394,-23.297128235045424,10.433097822168516,"{""COMPOSITION_FIT"":5.262500000000003,""COMPOSITION_RESPONSE"":0.7270833333333329,""DENIAL"":4.9592288557213955,""EARLY_POWER"":3.025,""FLEXIBILITY"":4.0,""FUTURE_FEASIBILITY"":10.0,""JUNGLE_CLEAR"":0.0,""LATE_POWER"":3.36,""MATCHUP"":0.0,""META_PRIORITY"":0.175,""MID_POWER"":5.67,""PLAYER_FIT"":16.16977611940299,""RESOURCE_RISK"":0.0}","[{""championId"":""rumble"",""finalSearchScore"":9.346821431908293},{""championId"":""poppy"",""finalSearchScore"":8.736126775189678},{""championId"":""morgana"",""finalSearchScore"":8.575396948320481}]"
CBLOL-g1,12,RED,PICK,lissandra,106,32.05984392934746,0.026004108342139065,32.085848037689594,"{""COMPOSITION_FIT"":5.5625,""COMPOSITION_RESPONSE"":2.165740740740741,""DENIAL"":0.0,""EARLY_POWER"":4.995,""FLEXIBILITY"":4.0,""FUTURE_FEASIBILITY"":10.0,""JUNGLE_CLEAR"":0.0,""LATE_POWER"":2.4000000000000004,""MATCHUP"":-0.03461804970056903,""META_PRIORITY"":0.15,""MID_POWER"":3.92,""PLAYER_FIT"":14.871376811594203,""RESOURCE_RISK"":0.18000000000000008}","[{""championId"":""gnar"",""finalSearchScore"":31.789384525995445},{""championId"":""sylas"",""finalSearchScore"":31.705139390098225},{""championId"":""ahri"",""finalSearchScore"":31.37405419540741}]"
