sample,time_seconds,player,side,position,champion,cs,gold,xp
CBLOL-g1,600,player-zynts,BLUE,TOP,varus,71,4120,4235
CBLOL-g1,600,player-stepz,BLUE,JUNGLE,zyra,60,3110,2812
CBLOL-g1,600,player-fuuu,BLUE,MID,azir,78,3380,3643
CBLOL-g1,600,player-morttheus,BLUE,ADC,caitlyn,87,3860,3378
CBLOL-g1,600,player-manel,BLUE,SUPPORT,morgana,0,2366,2778
CBLOL-g1,600,player-boal,RED,TOP,gnar,68,2940,3522
CBLOL-g1,600,player-cariok,RED,JUNGLE,wukong,60,2970,2722
CBLOL-g1,600,player-keine,RED,MID,lissandra,72,3400,3631
CBLOL-g1,600,player-hena,RED,ADC,taliyah,78,3220,2828
CBLOL-g1,600,player-ceos,RED,SUPPORT,alistar,0,2226,2828
CBLOL-g1,900,player-zynts,BLUE,TOP,varus,108,5820,6488
CBLOL-g1,900,player-stepz,BLUE,JUNGLE,zyra,96,4790,4522
CBLOL-g1,900,player-fuuu,BLUE,MID,azir,125,5160,5833
CBLOL-g1,900,player-morttheus,BLUE,ADC,caitlyn,123,5708,4930
CBLOL-g1,900,player-manel,BLUE,SUPPORT,morgana,0,3326,4080
CBLOL-g1,900,player-boal,RED,TOP,gnar,108,4340,5485
CBLOL-g1,900,player-cariok,RED,JUNGLE,wukong,92,4310,4242
CBLOL-g1,900,player-keine,RED,MID,lissandra,114,4840,5811
CBLOL-g1,900,player-hena,RED,ADC,taliyah,125,5142,4730
CBLOL-g1,900,player-ceos,RED,SUPPORT,alistar,0,3306,4430
CBLOL-g1,1200,player-zynts,BLUE,TOP,varus,154,7620,8779
CBLOL-g1,1200,player-stepz,BLUE,JUNGLE,zyra,128,6960,6142
CBLOL-g1,1200,player-fuuu,BLUE,MID,azir,164,7260,7673
CBLOL-g1,1200,player-morttheus,BLUE,ADC,caitlyn,160,7792,6614
CBLOL-g1,1200,player-manel,BLUE,SUPPORT,morgana,0,4796,5394
CBLOL-g1,1200,player-boal,RED,TOP,gnar,149,5810,7697
CBLOL-g1,1200,player-cariok,RED,JUNGLE,wukong,124,5640,5682
CBLOL-g1,1200,player-keine,RED,MID,lissandra,146,6170,7421
CBLOL-g1,1200,player-hena,RED,ADC,taliyah,168,7098,6548
CBLOL-g1,1200,player-ceos,RED,SUPPORT,alistar,0,4476,5528
CBLOL-g2,600,player-zynts,BLUE,TOP,galio,74,3150,3780
CBLOL-g2,600,player-stepz,BLUE,JUNGLE,xin-zhao,64,3030,2880
CBLOL-g2,600,player-fuuu,BLUE,MID,vex,72,3530,3750
CBLOL-g2,600,player-morttheus,BLUE,ADC,xayah,74,3630,2896
CBLOL-g2,600,player-manel,BLUE,SUPPORT,leona,0,2386,2946
CBLOL-g2,600,player-boal,RED,TOP,rumble,68,3000,3640
CBLOL-g2,600,player-cariok,RED,JUNGLE,brand,56,3030,2610
CBLOL-g2,600,player-keine,RED,MID,orianna,73,3340,3820
CBLOL-g2,600,player-hena,RED,ADC,ashe,79,3460,3036
CBLOL-g2,600,player-ceos,RED,SUPPORT,neeko,0,2216,2946
CBLOL-g2,900,player-zynts,BLUE,TOP,galio,110,4980,5821
CBLOL-g2,900,player-stepz,BLUE,JUNGLE,xin-zhao,96,4600,4476
CBLOL-g2,900,player-fuuu,BLUE,MID,vex,113,5430,5793
CBLOL-g2,900,player-morttheus,BLUE,ADC,xayah,122,5304,4618
CBLOL-g2,900,player-manel,BLUE,SUPPORT,leona,0,3496,4548
CBLOL-g2,900,player-boal,RED,TOP,rumble,101,4380,5523
CBLOL-g2,900,player-cariok,RED,JUNGLE,brand,92,4470,4230
CBLOL-g2,900,player-keine,RED,MID,orianna,110,4680,5640
CBLOL-g2,900,player-hena,RED,ADC,ashe,120,5016,4716
CBLOL-g2,900,player-ceos,RED,SUPPORT,neeko,0,3086,4206
CBLOL-g2,1200,player-zynts,BLUE,TOP,galio,152,6820,8372
CBLOL-g2,1200,player-stepz,BLUE,JUNGLE,xin-zhao,128,6335,5996
CBLOL-g2,1200,player-fuuu,BLUE,MID,vex,148,7125,7623
CBLOL-g2,1200,player-morttheus,BLUE,ADC,xayah,164,7063,6312
CBLOL-g2,1200,player-manel,BLUE,SUPPORT,leona,0,4761,5612
CBLOL-g2,1200,player-boal,RED,TOP,rumble,130,5880,7261
CBLOL-g2,1200,player-cariok,RED,JUNGLE,brand,124,6110,5670
CBLOL-g2,1200,player-keine,RED,MID,orianna,152,6340,7600
CBLOL-g2,1200,player-hena,RED,ADC,ashe,166,6768,6522
CBLOL-g2,1200,player-ceos,RED,SUPPORT,neeko,0,4176,5382
LCK-g1,600,player-kiin,BLUE,TOP,varus,68,3990,4092
LCK-g1,600,player-canyon,BLUE,JUNGLE,fiddlesticks,60,3200,2902
LCK-g1,600,player-chovy,BLUE,MID,azir,75,3320,3681
LCK-g1,600,player-ruler,BLUE,ADC,caitlyn,89,4150,3440
LCK-g1,600,player-duro,BLUE,SUPPORT,karma,0,2456,2980
LCK-g1,600,player-doran,RED,TOP,gragas,65,3180,3702
LCK-g1,600,player-oner,RED,JUNGLE,wukong,56,2810,2542
LCK-g1,600,player-faker,RED,MID,lissandra,63,3040,3241
LCK-g1,600,player-peyz,RED,ADC,ashe,82,3220,2828
LCK-g1,600,player-keria,RED,SUPPORT,alistar,0,2146,2968
LCK-g1,900,player-kiin,BLUE,TOP,varus,108,5980,5975
LCK-g1,900,player-canyon,BLUE,JUNGLE,fiddlesticks,100,4650,4702
LCK-g1,900,player-chovy,BLUE,MID,azir,114,4750,5641
LCK-g1,900,player-ruler,BLUE,ADC,caitlyn,130,5644,4952
LCK-g1,900,player-duro,BLUE,SUPPORT,karma,0,3376,4282
LCK-g1,900,player-doran,RED,TOP,gragas,105,4580,5817
LCK-g1,900,player-oner,RED,JUNGLE,wukong,88,4280,4004
LCK-g1,900,player-faker,RED,MID,lissandra,97,4320,5152
LCK-g1,900,player-peyz,RED,ADC,ashe,127,4966,4556
LCK-g1,900,player-keria,RED,SUPPORT,alistar,0,3596,4436
LCK-g1,1200,player-kiin,BLUE,TOP,varus,147,7660,8210
LCK-g1,1200,player-canyon,BLUE,JUNGLE,fiddlesticks,136,6220,6492
LCK-g1,1200,player-chovy,BLUE,MID,azir,152,6260,7561
LCK-g1,1200,player-ruler,BLUE,ADC,caitlyn,171,7266,6618
LCK-g1,1200,player-duro,BLUE,SUPPORT,karma,0,4246,5598
LCK-g1,1200,player-doran,RED,TOP,gragas,145,6518,8288
LCK-g1,1200,player-oner,RED,JUNGLE,wukong,124,6198,5804
LCK-g1,1200,player-faker,RED,MID,lissandra,127,5968,6852
LCK-g1,1200,player-peyz,RED,ADC,ashe,173,7476,6526
LCK-g1,1200,player-keria,RED,SUPPORT,alistar,0,5064,5736
LCK-g2,600,player-kiin,BLUE,TOP,gnar,72,3470,3684
LCK-g2,600,player-canyon,BLUE,JUNGLE,maokai,64,3010,2924
LCK-g2,600,player-chovy,BLUE,MID,annie,77,3210,3542
LCK-g2,600,player-ruler,BLUE,ADC,kalista,85,4070,3440
LCK-g2,600,player-duro,BLUE,SUPPORT,nautilus,0,2456,2980
LCK-g2,600,player-doran,RED,TOP,jayce,76,3100,3780
LCK-g2,600,player-oner,RED,JUNGLE,morgana,64,2860,2880
LCK-g2,600,player-faker,RED,MID,lux,78,3140,3780
LCK-g2,600,player-peyz,RED,ADC,jhin,75,3080,2604
LCK-g2,600,player-keria,RED,SUPPORT,neeko,0,2066,3024
LCK-g2,900,player-kiin,BLUE,TOP,gnar,116,5540,5799
LCK-g2,900,player-canyon,BLUE,JUNGLE,maokai,100,4410,4566
LCK-g2,900,player-chovy,BLUE,MID,annie,117,4780,5313
LCK-g2,900,player-ruler,BLUE,ADC,kalista,134,5836,5120
LCK-g2,900,player-duro,BLUE,SUPPORT,nautilus,0,3376,4240
LCK-g2,900,player-doran,RED,TOP,jayce,110,4440,5803
LCK-g2,900,player-oner,RED,JUNGLE,morgana,96,4280,4320
LCK-g2,900,player-faker,RED,MID,lux,120,4880,6060
LCK-g2,900,player-peyz,RED,ADC,jhin,120,4718,4214
