seed,profile,source,year,age,pa,ca_start,ca_end,strength_end,internal_growth,decline,model_sets,retirement_probability,retirement_roll,retired,asking_krw
41,FIRST_TEAM,GENERATED,2027,20,149,134,142,173,9742,0,128,0,6743,false,69300000
41,FIRST_TEAM,GENERATED,2028,21,149,142,145,177,4509,0,128,0,352,false,77700000
41,FIRST_TEAM,GENERATED,2029,22,149,145,146,178,1459,0,128,0,4365,false,79800000
41,FIRST_TEAM,GENERATED,2030,23,149,146,146,178,817,0,128,0,2032,false,79800000
41,FIRST_TEAM,GENERATED,2031,24,149,146,146,178,458,0,128,0,8174,false,79800000
41,CL,GENERATED,2027,20,149,134,139,170,7068,0,64,0,6743,false,63000000
41,CL,GENERATED,2028,21,149,139,142,174,4529,0,64,0,352,false,71400000
41,CL,GENERATED,2029,22,149,142,144,176,1923,0,64,0,4365,false,75600000
41,CL,GENERATED,2030,23,149,144,145,177,1303,0,64,0,2032,false,77700000
41,CL,GENERATED,2031,24,149,145,145,177,884,0,64,0,8174,false,77700000
41,BENCH,GENERATED,2027,20,149,134,136,167,3650,0,0,0,6743,false,56700000
41,BENCH,GENERATED,2028,21,149,136,139,170,3173,0,0,0,352,false,63000000
41,BENCH,GENERATED,2029,22,149,139,141,172,1928,0,0,0,4365,false,67200000
41,BENCH,GENERATED,2030,23,149,141,142,174,1582,0,0,0,2032,false,71400000
41,BENCH,GENERATED,2031,24,149,142,143,175,1298,0,0,0,8174,false,73500000
41,FA,GENERATED,2027,20,149,134,135,165,1825,0,0,0,6743,false,52500000
41,FA,GENERATED,2028,21,149,135,136,167,1621,0,0,0,352,false,56700000
41,FA,GENERATED,2029,22,149,136,137,168,1187,0,0,15,4365,false,58800000
41,FA,GENERATED,2030,23,149,137,138,169,1183,0,0,15,2032,false,60900000
41,FA,GENERATED,2031,24,149,138,139,170,1106,0,0,15,8174,false,63000000
41,VETERAN,ORIGINAL,2027,28,null,187,185,223,0,2000,128,0,6166,false,1120437345
41,VETERAN,ORIGINAL,2028,29,null,185,183,220,0,3000,128,0,9667,false,1090493827
41,VETERAN,ORIGINAL,2029,30,null,183,178,215,0,5000,128,28,6449,false,1041489197
41,VETERAN,ORIGINAL,2030,31,null,178,173,209,0,6000,128,46,3754,true,984170679
73,FIRST_TEAM,GENERATED,2027,18,145,113,121,149,10690,0,128,0,5894,false,29787800
73,FIRST_TEAM,GENERATED,2028,19,145,121,130,160,10700,0,128,0,3947,false,42000000
73,FIRST_TEAM,GENERATED,2029,20,145,130,138,169,8958,0,128,0,6003,false,60900000
73,FIRST_TEAM,GENERATED,2030,21,145,138,142,173,3280,0,128,0,6105,false,69300000
73,FIRST_TEAM,GENERATED,2031,22,145,142,142,174,1477,0,128,0,2291,false,71400000
73,CL,GENERATED,2027,18,145,113,118,146,7170,0,64,0,5894,false,28155400
73,CL,GENERATED,2028,19,145,118,124,153,7180,0,64,0,3947,false,31966200
73,CL,GENERATED,2029,20,145,124,130,160,7170,0,64,0,6003,false,42000000
73,CL,GENERATED,2030,21,145,130,135,165,5270,0,64,0,6105,false,52500000
73,CL,GENERATED,2031,22,145,135,136,167,3283,0,64,0,2291,false,56700000
73,BENCH,GENERATED,2027,18,145,113,115,143,3650,0,0,0,5894,false,26521600
73,BENCH,GENERATED,2028,19,145,115,119,147,3660,0,0,0,3947,false,28700000
73,BENCH,GENERATED,2029,20,145,119,121,150,3650,0,0,0,6003,false,30332400
73,BENCH,GENERATED,2030,21,145,121,124,153,2670,0,0,0,6105,false,31966200
73,BENCH,GENERATED,2031,22,145,124,126,155,2372,0,0,0,2291,false,33055400
73,FA,GENERATED,2027,18,145,113,114,141,1825,0,0,0,5894,false,25432400
73,FA,GENERATED,2028,19,145,114,115,143,1830,0,0,0,3947,false,26521600
73,FA,GENERATED,2029,20,145,115,117,145,1825,0,0,15,6003,false,27610800
73,FA,GENERATED,2030,21,145,117,118,146,1335,0,0,15,6105,false,28155400
73,FA,GENERATED,2031,22,145,118,120,148,1186,0,0,15,2291,false,29243200
73,VETERAN,ORIGINAL,2027,28,null,187,185,223,0,2000,128,0,178,false,1120437345
73,VETERAN,ORIGINAL,2028,29,null,185,183,220,0,3000,128,0,5190,false,1090493827
73,VETERAN,ORIGINAL,2029,30,null,183,178,215,0,5000,128,28,8858,false,1041489197
73,VETERAN,ORIGINAL,2030,31,null,178,173,209,0,6000,128,46,7426,false,984170679
73,VETERAN,ORIGINAL,2031,32,null,173,168,203,0,6000,128,63,3525,true,928474382
