sample,player,position,champion,kills,deaths,assists,combat,economy,survival,rating
CBLOL-g1,player-zynts,TOP,varus,5,1,2,54.479166666667,61.235120529089,54.639136904762,56.529948361108
CBLOL-g1,player-stepz,JUNGLE,zyra,3,1,3,30.892857142857,56.567723420222,50.0,38.56551565589
CBLOL-g1,player-fuuu,MID,azir,1,3,5,34.767857142857,47.581472361756,50.0,40.256082376153
CBLOL-g1,player-morttheus,ADC,caitlyn,3,3,5,50.690476190476,34.468334930829,50.150699168556,46.553974322276
CBLOL-g1,player-manel,SUPPORT,morgana,0,2,5,16.556547619048,48.861637509005,50.0,26.475747084234
CBLOL-g1,player-boal,TOP,gnar,0,3,1,8.169642857143,38.764879470911,50.0,23.622767412702
CBLOL-g1,player-cariok,JUNGLE,wukong,0,2,1,5.669642857143,43.432276579778,50.0,20.20010934411
CBLOL-g1,player-keine,MID,lissandra,3,2,3,43.517857142857,52.418527638244,50.0,46.715346195275
CBLOL-g1,player-hena,ADC,taliyah,7,3,2,71.776785714286,65.531665069171,54.752869897959,67.661918180558
CBLOL-g1,player-ceos,SUPPORT,alistar,0,2,5,23.848214285714,51.138362490995,50.0,31.807586249099
CBLOL-g2,player-zynts,TOP,galio,3,0,2,58.404387417219,54.864686370064,61.205849889625,57.762696473933
CBLOL-g2,player-stepz,JUNGLE,xin-zhao,1,0,2,18.917632450331,49.659652970701,50.0,29.74540903832
CBLOL-g2,player-fuuu,MID,vex,2,1,3,46.654387417219,49.114897131022,50.0,47.771356733087
CBLOL-g2,player-morttheus,ADC,xayah,2,1,3,46.654387417219,48.202272250349,50.0,47.543200512918
CBLOL-g2,player-manel,SUPPORT,leona,0,0,4,24.473509933775,50.106197078421,50.0,32.142076661484
CBLOL-g2,player-boal,TOP,rumble,0,2,0,7.5,45.135313629936,50.0,25.165594088981
CBLOL-g2,player-cariok,JUNGLE,brand,0,2,1,27.868377483444,50.340347029299,50.0,35.665497418633
CBLOL-g2,player-keine,MID,orianna,1,2,0,31.743377483444,50.885102868978,50.0,39.267302207311
CBLOL-g2,player-hena,ADC,ashe,1,2,0,31.743377483444,51.797727749651,50.0,39.495458427479
CBLOL-g2,player-ceos,SUPPORT,neeko,0,0,1,21.493377483444,49.893802921579,50.0,30.034744530569
LCK-g1,player-kiin,TOP,varus,3,2,0,34.133928571429,53.815041727499,50.0,42.418173232535
LCK-g1,player-canyon,JUNGLE,fiddlesticks,0,1,5,42.098214285714,46.368133668012,50.0,44.319059335916
LCK-g1,player-chovy,MID,azir,2,2,2,34.178571428571,56.200652945048,50.0,42.057306093405
LCK-g1,player-ruler,ADC,caitlyn,3,2,2,45.973214285714,48.176313632455,50.0,47.128006979542
LCK-g1,player-duro,SUPPORT,karma,0,1,4,23.928571428571,46.171270823637,50.0,31.367127082364
LCK-g1,player-doran,TOP,gragas,2,1,4,69.517857142857,46.184958272501,68.58843537415,62.378574216444
LCK-g1,player-oner,JUNGLE,wukong,1,1,4,42.098214285714,53.631866331988,50.0,45.408619235513
LCK-g1,player-faker,MID,lissandra,0,3,3,22.383928571429,43.799347054952,49.206349206349,31.761146287548
LCK-g1,player-peyz,ADC,ashe,4,3,3,69.5625,51.823686367545,49.206349206349,62.074373972839
LCK-g1,player-keria,SUPPORT,alistar,1,0,3,23.928571428571,53.828729176363,50.0,32.132872917636
LCK-g2,player-kiin,TOP,gnar,3,2,7,66.458333333333,57.465130594853,58.229166666667,62.525997511789
LCK-g2,player-canyon,JUNGLE,maokai,0,2,7,30.520833333333,37.785043503156,50.0,35.50629819214
LCK-g2,player-chovy,MID,annie,4,3,6,54.708333333333,44.428462516874,46.527777777778,50.911282295885
LCK-g2,player-ruler,ADC,kalista,8,0,4,68.25,65.832107426181,70.277777777778,67.949693523212
LCK-g2,player-duro,SUPPORT,nautilus,0,0,5,10.604166666667,45.022784398817,50.0,21.925195106548
LCK-g2,player-doran,TOP,jayce,1,4,3,52.5,42.534869405147,41.666666666667,47.885460821544
LCK-g2,player-oner,JUNGLE,morgana,2,2,2,36.875,62.214956496844,50.0,43.300993474527
LCK-g2,player-faker,MID,lux,3,3,1,40.75,55.571537483126,46.527777777778,45.322051037448
LCK-g2,player-peyz,ADC,jhin,1,5,2,27.3125,34.167892573819,25.694444444444,28.783639810121
LCK-g2,player-keria,SUPPORT,neeko,0,1,4,30.5,54.977215601183,50.0,36.847721560118
