variant,seed_id,season_year,stage,date,days_in_interval,active_players,ca_p10,ca_p50,ca_p90,ca_ge160,ca_ge180,retired_cumulative,rookies_at_review,training_internal,decline_internal,cash_krw,ai_full_five_at_close,ai_teams,full_five_team_day_percent
V2,S1,2027,START,2026-08-24,0,467,128,156,176,197,32,0,0,0,0,86864610160,55,57,
V2,S1,2027,SEASON_END,2028-01-01,495,470,129,155,177,198,36,16,19,1044016,227000,84170007480,38,57,96.455786
V2,S1,2028,SEASON_END,2029-01-01,366,470,128,154,177,191,36,36,20,583974,444000,82504716963,28,57,78.841914
V2,S1,2029,SEASON_END,2030-01-01,365,456,128,151,176,171,33,86,36,544002,519000,88844218725,15,57,58.812785
V2,S2,2027,START,2026-08-24,0,467,127,156,176,197,32,0,0,0,0,86864610160,55,57,
V2,S2,2027,SEASON_END,2028-01-01,495,470,128,155,177,197,36,13,16,1041716,227000,84550636770,35,57,96.140351
V2,S2,2028,SEASON_END,2029-01-01,366,470,128,155,177,191,36,37,24,566689,448000,81295113864,21,57,66.882370
V2,S2,2029,SEASON_END,2030-01-01,365,454,128,152,176,172,31,89,36,514958,527000,87450859144,16,57,48.574862
V3,S1,2027,START,2026-08-24,0,467,128,156,176,197,32,0,0,0,0,86864610160,55,57,
V3,S1,2027,SEASON_END,2028-01-01,495,470,129,155,177,196,36,16,19,1039444,227000,85882029516,39,57,96.136807
V3,S1,2028,SEASON_END,2029-01-01,366,470,129,154,177,188,36,38,22,585970,442000,84325736704,30,57,80.313489
V3,S1,2029,SEASON_END,2030-01-01,365,460,128,151,176,172,33,84,36,561148,508000,90382483501,21,57,66.012978
