kind,blue,red,seed,game,durationSeconds,kills,firstKillSeconds,firstKillSource,winner,endReason,baseReturn,baseDefense,grubs,herald,heraldCharges,initialBlue,initialRed,finalBlue,finalRed,draftIdentity,outputHash,executionSeconds
fresh,GEN,T1,91008011,1,2250,31,250,SKIRMISH,RED,NEXUS_DESTROYED,26,2,3,1,1,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,FRONT_TO_BACK,f7bb1ae520a620078d87e6ac7debe6fd959707f66e8dc770f20ff21cf8d1ae43,fc695d8b798ee836f4b449fb094cdf0074ee4645dabe8ce309dd4f903d74c84f,7.109
fresh,GEN,T1,91008023,1,1540,21,60,SKIRMISH,BLUE,NEXUS_DESTROYED,25,1,3,1,3,DIVE,POKE_SIEGE,DIVE,POKE_SIEGE,77a5de7f59900ad63719ec432792be431ca7d380cfee630c11199e723b88b2c5,b002fd1ca52df1e48ef8397aef87a1e66f91f95b7d16e5d52c0e792c4650f34c,4.964
fresh,GEN,T1,91008037,1,1540,16,700,OBJECTIVE_FIGHT,BLUE,NEXUS_DESTROYED,25,3,3,1,3,PICK_CONTROL,FRONT_TO_BACK,PICK_CONTROL,FRONT_TO_BACK,708ee4776a97d69b8ddcb43282dfddf4bef0a6e96a317c7c911cef56ca3387dc,cc894a6a5d1fad2efca1dbf4cec3851e13c2d51aec42659d76992bb2ce086b20,5.45
fresh,GEN,T1,91008051,1,1520,16,240,ROAM,BLUE,NEXUS_DESTROYED,32,1,2,1,1,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,583164717e7121acde8eff6c464b0458dbeffe6fd4c8975967746ca22de3f3b1,f0f28d7d66853b8e0da60c90ef225646f9f84449f7ea1f42d6c97b0d9b1a23c6,4.523
fresh,GEN,T1,91008067,1,1310,20,60,SKIRMISH,BLUE,NEXUS_DESTROYED,17,3,3,1,3,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,aa42a79a085ea56518314220de7e6439bef5f57f0393ed614fe9cc4e6287f304,c28cecbef7d29a721bb4d661d85679bc03bf8b4bc805956a9cab666b9a97e779,4.637
fresh,GEN,T1,91008081,1,1780,28,160,SKIRMISH,RED,NEXUS_DESTROYED,25,2,3,1,3,DIVE,POKE_SIEGE,DIVE,POKE_SIEGE,fc650cd09742c8de64f54944916fe4ee18bb827e61ad3e7b7d64a4b8aea096e3,aff32ce9c85b6fccba273ee5e82b9c1cc3699db8f9894c44eadb2fc5e60bd78d,4.677
fresh,GEN,T1,91008097,1,1640,17,140,SKIRMISH,BLUE,NEXUS_DESTROYED,19,0,3,1,1,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,FRONT_TO_BACK,2594dd87148ae823c6247b5f4642bffd59f27b1acf41a4e530fea3fab457bd97,fead41d6ba6c50c0acf1848491cd4e39f49f7ce03b42309cb8898d4a76ee959e,4.672
fresh,GEN,T1,91008113,1,1530,18,210,SKIRMISH,BLUE,NEXUS_DESTROYED,17,1,3,1,3,DIVE,FRONT_TO_BACK,DIVE,FRONT_TO_BACK,e2d5aafb15067c657094c9b75fe73fabeb1755963b922ce698e67433c34585a8,06bed2d5ebb040778a77292b97df3386dfcd38f20362b0b1577fec7609bd81b6,5.122
fresh,T1,GEN,91008011,1,1990,26,250,SKIRMISH,RED,NEXUS_DESTROYED,43,7,3,1,1,POKE_SIEGE,DIVE,POKE_SIEGE,DIVE,9b674a6e1cb23acb49e33705507a3e8b40a9e7e987300fbb222a2b9778b69abf,15bcdcc96fe620e5a6c6caffa05ac53186131f8181f1e89a982c1cd0361d2b2d,5.46
fresh,T1,GEN,91008023,1,1870,18,60,SKIRMISH,RED,NEXUS_DESTROYED,29,1,3,1,3,POKE_SIEGE,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,a77c02192292023003b039161e8a8c3f8237dfc1df972a302ea2bce50e6598f5,d6e287d27867c059d92a860e72c2848ce4ae24841e9e68c6beda63633dd1331f,5.094
fresh,T1,GEN,91008037,1,1640,16,570,SKIRMISH,RED,NEXUS_DESTROYED,28,2,3,1,3,POKE_SIEGE,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,b9566f2815820b813982d0c87edfe4d9d2600ef87899844a2ad32423f73807f8,94d1e712585af2422069084c21f6c5e9719ca4b70fb3abb24a20e75c7c50af93,5.276
fresh,T1,GEN,91008051,1,1540,17,240,ROAM,RED,NEXUS_DESTROYED,27,3,3,1,3,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,DIVE,324ecec8934b8804fcbdcad113750059729b1d0d16a093477dd56ecc52d9a202,3adac25102dedb6d7929d3f5d39ea1a1bf057d13a201732fe2a80517dbb9686a,5.678
fresh,T1,GEN,91008067,1,1970,15,60,SKIRMISH,RED,NEXUS_DESTROYED,40,4,3,1,1,POKE_SIEGE,DIVE,POKE_SIEGE,DIVE,628787b50d20d27a8de6761e22a7aa72ed08b00a63fb753d3ec9da3f2a22dcba,00331e651943a6915812ea5dac162278a3783bc3c7e6ba9ce4e6fb3d02a5cb0b,5.74
fresh,T1,GEN,91008081,1,2600,36,160,SKIRMISH,BLUE,NEXUS_DESTROYED,63,6,3,1,3,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,FRONT_TO_BACK,b062912e24c9112b3ca875d4ee3b49974c4c9943766fea1cb71c356662f44e45,50e5b36c123644f1377161525540297384fe7802ed53efda6db4bab7cd47f003,7.094
fresh,T1,GEN,91008097,1,2360,28,140,SKIRMISH,RED,NEXUS_DESTROYED,53,5,3,1,3,DIVE,POKE_SIEGE,DIVE,POKE_SIEGE,0bc6fba09ee0327e07965bc724a8a39f0051b96723d863de316e8b0feeff071d,32af3151d7fa7b0ec97fec51cafc8dc5ff908215f15d66fc461118207e774efb,7.485
fresh,T1,GEN,91008113,1,1940,17,210,SKIRMISH,RED,NEXUS_DESTROYED,50,2,3,1,3,POKE_SIEGE,POKE_SIEGE,FRONT_TO_BACK,DIVE,a489e05d62ddca818f107a5fc60816bd8930e8bfa0c5970b98f5a5dcc47e7335,3ff8de75844021f1d8cc7374cceda45961fa4870a15e8aae79c61b89030282aa,7.037
fresh,HLE,GEN,91008011,1,4240,54,250,SKIRMISH,RED,NEXUS_DESTROYED,135,8,3,1,3,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,145c8bffd25dde05adbe09a669c9711b8d8514a6ea5e48e9822ed8c124747644,784989f3c7dbfbcd16699d530d796041d45d9bb00aaf967aa8664dc26acf7a38,9.879
