blue,red,seed,duration,kills,gankAttempts,counterGanks,grubs,heraldCharges,baseDefenses,endReason,outputHash,executionSeconds
GEN,T1,91008011,1630,21,1,0,3,3,2,NEXUS_DESTROYED,23736d869dd2afd5eb305a13aee39280fc634e2acb550efae75200464b005824,8.808501322
GEN,T1,91008023,2080,25,0,0,3,3,2,NEXUS_DESTROYED,ea6da76adf8dc1320b01b1aabf74bf1b107bc94e0f7294a1a20c4c72a7984441,6.3075073
T1,GEN,91008011,2010,31,1,0,3,3,3,NEXUS_DESTROYED,6a3c5397d87ba72be57bc0b766b33209056c61c3fa4bddc607dbc3c95201e3ff,6.562451516
T1,GEN,91008023,1050,11,1,0,3,0,1,NEXUS_DESTROYED,a92154bcab63e952b4b7d26ce72937d8bb6a41454593a3decd81e6c79d75f014,5.913801503
HLE,GEN,91008011,2200,22,0,2,3,3,4,NEXUS_DESTROYED,d806938092ef549f8b1d056a0927623c63551d9251133c9c428921595a30bea0,5.966106125
HLE,GEN,91008023,2190,20,1,0,2,1,3,NEXUS_DESTROYED,1ee74951a507789ffd910c8f0fe011eb11717bfd5236e6da9233d814ac9638e7,6.061008358
GEN,HLE,91008011,2440,39,0,0,3,3,5,NEXUS_DESTROYED,50ff0b8833e073883a49310172d2be1f4a1e1500854efeca945ac9f8902a3a1f,5.53245336
GEN,HLE,91008023,1910,20,1,0,3,1,1,NEXUS_DESTROYED,6c1108b0e84bd9064ce0686162f2eb9ce65dfa64502b909550ddce0cdf903f01,5.533181375
KT,DK,91008011,1810,27,1,0,3,1,3,NEXUS_DESTROYED,54a24feaa214a5a160b61403b4b0195820361283ae8860cb48c381ebad253c0c,5.177009878
KT,DK,91008023,2600,30,0,0,2,3,6,NEXUS_DESTROYED,8d9ddfc2c40ac8e446f9a2ac2eeac7435f0df1a76d53f3ac27a31a08077e608b,5.457649108
DK,KT,91008011,1900,35,1,1,3,3,1,NEXUS_DESTROYED,d12e8eb435d105f52f9fa67cff086d4febebec7405f60f5ddc5e5695aa07be24,4.984784242
DK,KT,91008023,2900,37,0,0,3,3,5,NEXUS_DESTROYED,d887f742dc85384d7854b772f2ac6cb588658d02c417f1a5b804c3777d26a7c5,5.764520817
T1,KRX,91008011,1610,25,0,0,3,3,2,NEXUS_DESTROYED,ab6170415ce0030fe82df9f0b705361ec6a8825f97c7b978f5df59a4d1014101,4.39164704
T1,KRX,91008023,2860,37,3,0,3,0,2,NEXUS_DESTROYED,42684faae2cca3935f05f1329e5ab840418a5b93b1ea319f13be99c529bb373b,4.973032714
KRX,T1,91008011,1950,20,2,0,2,1,3,NEXUS_DESTROYED,687596aca286f6e472a3ace2eb0547b848544de257ca3c95eafb43aa7d5c54e1,5.621804082
KRX,T1,91008023,1990,32,0,0,3,3,5,NEXUS_DESTROYED,1ebf8d791b3fc2657bb7a2648dc5becfe7d386738d60e79308222b06bc9b1919,5.62652453
